,model_id,entry_filters,entry_kernel_size,learning_rate,training_time,val_dice_loss,val_dice_score
0,model_0,32.0,3.0,0.0001,1291.1082055568695,0.47549116611480713,0.5422347784042358
1,model_1,32.0,3.0,0.001,1192.9970016479492,1.0,0.5403971076011658
2,model_2,32.0,4.0,0.0001,1197.912015914917,0.4818943440914154,0.5411341786384583
3,model_3,32.0,4.0,0.001,1192.7150037288666,1.0,0.5394906401634216
4,model_4,64.0,3.0,0.0001,1273.2030024528503,0.5641074180603027,0.5387357473373413
5,model_5,64.0,3.0,0.001,1269.9740014076233,1.0,0.5373022556304932
6,model_6,64.0,4.0,0.0001,1272.1370010375977,0.4734375476837158,0.5398812294006348
7,model_7,64.0,4.0,0.001,1272.493000984192,1.0,0.5385127067565918
